,RF00005,RF01960,RF02541,RF01852,RF02796,RF00017,RF00167,RF01854,RF02543,RF00002,RF00168,RF00020,RF00001,RF00026,RF00004,RF00037,RF01750,RF00177,RF00023,RF02540,RF00458,RF01846,RF01734,RF00059,RF01051,RF00011,RF02545,RF00162,RF00100,RF01831,RF00505,RF01725,RF02546,RF00164,RF01786,RF00015,RF01510,RF00032,RF00010,RF00029,RF02680,RF00009,RF00050,RF02553,RF01357,RF01807,RF00379,RF01689,RF00233,RF00390,RF01763,RF00169,RF00008,RF00442,RF00061,RF02012,RF02683,RF02519,RF00382,RF01739,RF00504,RF00488,RF01857,RF00250,RF00080,RF00028,RF02001,RF01998,RF02348,RF00234,RF00013,RF01826,RF02253,RF00174,RF00380
465,5wit_1_2y_1-73,,4v8q_1_AA_1-2913,,,,,,,,,,4wt8_1_Ds_3-119,,,,,6cap_1_A_2-1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,4wsd_1_1L_1-73,,4v51_1_BA_1-2784,,,,,,,,,,4v5c_1_BB_3-119,,,,,5hcr_1_1a_1-1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,4wro_1_3L_1-73,,4tua_1_YA_1-2912,,,,,,,,,,4l47_1_RB_3-119,,,,,4dv4_1_A_2-1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,5ndk_1_V1_1-73,,6uo1_1_1A_1-2912,,,,,,,,,,1vy5_1_DB_3-119,,,,,6qnr_1_1G_1-1521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,4v5c_1_AW_1-73,,4v87_1_DA_1-2912,,,,,,,,,,4v8h_1_DB_3-119,,,,,4wsd_1_13_2-1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,4v5g_1_CW_1-73,,4v5p_1_BA_1-2913,,,,,,,,,,4w2e_1_B_3-119,,,,,5ndk_1_1G_2-1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,4w2f_1_CW_1-73,,4v5c_1_BA_1-2819,,,,,,,,,,4v5q_1_DB_5-121,,,,,4z8c_1_2a_1-1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,4wro_1_1L_1-73,,4v7k_1_AA_1-2848,,,,,,,,,,4lsk_1_YB_3-119,,,,,5wis_1_1a_1-1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,4v5p_1_AW_1-73,,4v5q_1_BA_1-2913,,,,,,,,,,4v5s_1_DB_5-121,,,,,6caq_1_A_2-1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,4w2f_1_CY_1-73,,4v5d_1_BA_1-2819,,,,,,,,,,4wzo_1_1J_5-121,,,,,4v8i_1_AA_2-1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,4v5r_1_CW_1-73,,4zsn_1_RA_1-2913,,,,,,,,,,4tua_1_RB_3-119,,,,,5dfe_1_QA_1-1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,4v5c_1_CY_1-73,,4tud_1_YA_1-2912,,,,,,,,,,6nd6_1_2B_3-121,,,,,5ib8_1_1G_2-1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,4wpo_1_BW_1-73,,4v51_1_DA_1-2784,,,,,,,,,,4v9i_1_BB_3-119,,,,,2uxc_1_A_2-1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,4wro_1_3K_1-73,,4zsn_1_YA_1-2913,,,,,,,,,,4v87_1_DB_5-121,,,,,5ndk_1_13_2-1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,4v5r_1_AW_1-73,,4v5k_1_BA_1-2848,,,,,,,,,,6gsk_1_1J_5-121,,,,,6ny6_1_A_1-1521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,4v5c_1_AY_1-73,,4p6f_1_YA_1-2912,,,,,,,,,,4p6f_1_YB_3-119,,,,,4wpo_1_BA_1-1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,4v6f_1_BB_1-73,,4v7k_1_BA_1-2848,,,,,,,,,,4v8q_1_AB_5-121,,,,,4k0k_1_A_1-1515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,4v5p_1_CW_1-73,,4v8e_1_CA_1-2912,,,,,,,,,,4v51_1_DB_3-119,,,,,6of1_1_2a_1-1521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,1vy7_1_CY_1-73,,4v9a_1_DA_1-2912,,,,,,,,,,5wit_1_2B_3-119,,,,,1vy4_1_AA_1-1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,5ndj_1_V1_1-73,,5f8k_1_1A_1-2912,,,,,,,,,,4v8e_1_CB_5-121,,,,,5el4_1_13_2-1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,1vy5_1_AY_1-73,,4v9a_1_BA_1-2912,,,,,,,,,,4v8i_1_DB_3-119,,,,,5hcr_1_2a_1-1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,4p6f_1_QW_1-73,,4tud_1_RA_1-2912,,,,,,,,,,4v97_1_DB_3-119,,,,,6nd5_1_1a_1-1521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,1vy4_1_CW_1-73,,4v5p_1_DA_1-2913,,,,,,,,,,5czp_1_YB_3-119,,,,,4v6g_1_CA_2-1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,4v5e_1_AW_1-73,,4v83_1_DA_1-2879,,,,,,,,,,4v7l_1_BB_3-119,,,,,4z3s_1_1a_1-1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,6ucq_1_1y_1-73,,4v8a_1_AA_1-2912,,,,,,,,,,6czr_1_1B_3-121,,,,,4v5f_1_CA_2-1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,4v97_1_AW_1-73,,6uo1_1_2A_1-2912,,,,,,,,,,4tue_1_RB_3-119,,,,,4ji2_1_A_2-1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,4v4i_1_z_1-73,,4tuc_1_YA_1-2912,,,,,,,,,,4tud_1_YB_3-119,,,,,6cfj_1_2a_1-1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,4p6f_1_XW_1-73,,4tua_1_RA_1-2912,,,,,,,,,,1vy6_1_DB_3-119,,,,,4wt8_1_Ab_5-1504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,1vy5_1_CW_1-73,,4w2e_1_A_1-2912,,,,,,,,,,6n9e_1_2B_3-119,,,,,4lnt_1_XA_2-1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,4v5c_1_CW_1-73,,4tue_1_YA_1-2912,,,,,,,,,,6n9f_1_2B_3-119,,,,,4dr4_1_A_2-1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,1vy5_1_CY_1-73,,4v5q_1_DA_1-2913,,,,,,,,,,4tub_1_YB_3-119,,,,,4v8d_1_AA_5-1506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,6ucq_1_1x_1-73,,6gsk_1_14_1-2914,,,,,,,,,,4v5e_1_BB_3-119,,,,,4v6g_1_AA_2-1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,4wqr_1_1L_1-73,,4v9i_1_BA_1-2913,,,,,,,,,,1vvj_1_YB_3-119,,,,,5j4c_1_2a_1-1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,4v9i_1_AW_1-73,,4v8f_1_DA_1-2912,,,,,,,,,,1vy7_1_DB_3-119,,,,,5el4_1_1G_2-1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,4v9i_1_CW_1-73,,4lsk_1_YA_1-2913,,,,,,,,,,5dox_1_1B_3-119,,,,,6fkr_1_1a_1-1507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,4wpo_1_DW_1-73,,4v6f_1_AA_1-2909,,,,,,,,,,6n9f_1_1B_3-119,,,,,4jv5_1_A_1-1515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,4v97_1_CW_1-73,,4v5c_1_DA_1-2819,,,,,,,,,,5czp_1_RB_3-119,,,,,4nxn_1_A_2-1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,4v5l_1_AW_1-73,,4v5k_1_DA_1-2848,,,,,,,,,,4tue_1_YB_3-119,,,,,4w2i_1_AA_1-1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,4w2h_1_AY_1-73,,4v83_1_BA_1-2879,,,,,,,,,,4wro_1_1J_5-121,,,,,5hd1_1_1a_1-1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,4v9c_1_CV_1-73,,4v7y_1_BA_1-2784,,,,,,,,,,4v97_1_BB_3-119,,,,,4duz_1_A_2-1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,4v8j_1_AW_1-73,,4tue_1_RA_1-2912,,,,,,,,,,4v9q_1_CB_3-119,,,,,4lnt_1_QA_2-1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,4wqu_1_BY_1-73,,4v5d_1_DA_1-2819,,,,,,,,,,4v6f_1_AB_5-121,,,,,5hcp_1_1a_1-1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,4w2h_1_CY_1-73,,4v97_1_DA_1-2912,,,,,,,,,,4v5l_1_BB_5-121,,,,,4w2i_1_CA_1-1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,6ucq_1_2y_1-73,,4v7y_1_DA_1-2784,,,,,,,,,,4lt8_1_RB_3-119,,,,,5w4k_1_2a_1-1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,4v8j_1_CW_1-73,,4tuc_1_RA_1-2912,,,,,,,,,,4v5d_1_DB_3-119,,,,,6qnq_1_13_1-1521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,4w2e_1_x_1-73,,5f8k_1_2A_1-2912,,,,,,,,,,4v5k_1_BB_3-119,,,,,4lf5_1_A_2-1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,4wqu_1_DY_1-73,,4lt8_1_YA_1-2913,,,,,,,,,,6n9e_1_1B_3-119,,,,,4w2g_1_AA_1-1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,4wqf_1_BY_1-73,,4v5l_1_BA_1-2913,,,,,,,,,,5v8i_1_2B_3-119,,,,,4ji4_1_A_2-1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,6ucq_1_2x_1-73,,4tub_1_YA_1-2912,,,,,,,,,,4v5j_1_BB_3-119,,,,,4wpo_1_DA_1-1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,4wqf_1_DY_1-73,,5vpo_1_RA_1-2912,,,,,,,,,,4v7l_1_DB_3-119,,,,,4v8d_1_CA_5-1506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,6az1_1_2_1-73,,4p6f_1_RA_1-2912,,,,,,,,,,4v7k_1_AB_3-119,,,,,4dv1_1_A_2-1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,6az1_1_4_1-73,,4tub_1_RA_1-2912,,,,,,,,,,5dox_1_2B_3-119,,,,,6fkr_1_2a_1-1507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,3r8o_1_V_1-73,,4v9i_1_DA_1-2913,,,,,,,,,,4v83_1_DB_3-119,,,,,4v5r_1_AA_2-1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,3r8n_1_V_1-73,,1vvj_1_YA_1-2913,,,,,,,,,,5f8k_1_2B_3-119,,,,,6qnq_1_1G_1-1521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,5afi_1_y_1-73,,4v9k_1_BA_1-2879,,,,,,,,,,4v9a_1_DB_5-121,,,,,6o97_1_1a_1-1521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,5uym_1_Y_1-73,,4v9k_1_DA_1-2879,,,,,,,,,,4v7k_1_BB_3-119,,,,,4v5f_1_AA_2-1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,5uq8_1_z_1-73,,4v7l_1_BA_1-2912,,,,,,,,,,5vpo_1_RB_3-119,,,,,4z3s_1_2a_1-1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,5wdt_1_y_1-73,,4v7m_1_DA_1-2912,,,,,,,,,,4tuc_1_RB_3-119,,,,,5e7k_1_13_2-1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,5wfs_1_y_1-73,,4lsk_1_RA_1-2913,,,,,,,,,,4p70_1_RB_3-119,,,,,5iwa_1_A_1-1509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,5we4_1_y_1-73,,4lt8_1_RA_1-2913,,,,,,,,,,4v8f_1_DB_5-121,,,,,6mkn_1_A_1-1521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,2jl7_1_V_1-73,,4v9q_1_CA_1-2879,,,,,,,,,,4p70_1_YB_3-119,,,,,5el5_1_13_2-1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,2jl5_1_V_1-73,,4v97_1_BA_1-2912,,,,,,,,,,4v83_1_BB_3-119,,,,,4wsd_1_1G_2-1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,2jl7_1_W_1-73,,4v7x_1_BA_1-2784,,,,,,,,,,1vvj_1_RB_3-119,,,,,5hcp_1_2a_1-1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,2jl5_1_W_1-73,,5dox_1_2A_1-2912,,,,,,,,,,4l71_1_YB_3-119,,,,,5hau_1_1a_1-1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,3jce_1_6_1-73,,1vvj_1_RA_1-2913,,,,,,,,,,6ucq_1_1B_3-121,,,,,4nxm_1_A_2-1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,6bu8_1_Y_1-73,,5czp_1_RA_1-2912,,,,,,,,,,4v9q_1_AB_3-119,,,,,4dv2_1_A_2-1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,5uq7_1_z_1-73,,6b4v_1_B_1-2880,,,,,,,,,,6b4v_1_C_3-119,,,,,4w2g_1_CA_1-1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,5uyl_1_Y_1-73,,4v84_1_DA_1-2879,,,,,,,,,,4tub_1_RB_3-119,,,,,4gkk_1_A_1-1513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,5iqr_1_4_1-73,,5czp_1_YA_1-2912,,,,,,,,,,4v9k_1_BB_3-119,,,,,5e7k_1_1G_2-1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,5we6_1_y_1-73,,4v9q_1_AA_1-2879,,,,,,,,,,4lsk_1_RB_3-119,,,,,4v5r_1_CA_2-1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,5wfk_1_y_1-73,,4v84_1_BA_1-2879,,,,,,,,,,4v8a_1_AB_3-119,,,,,4wt8_1_Bb_5-1504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,5wf0_1_y_1-73,,4v7x_1_DA_1-2784,,,,,,,,,,4v5k_1_DB_3-119,,,,,5hau_1_2a_1-1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,6o9j_1_v_1-73,,5dox_1_1A_1-2912,,,,,,,,,,4v7y_1_BB_3-119,,,,,5hd1_1_2a_1-1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,5uyk_1_Y_1-73,,4v67_1_BA_1-2891,,,,,,,,,,6b4v_1_GB_3-119,,,,,4w2h_1_AA_1-1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,5ot7_1_2_1-73,,4l71_1_YA_1-2913,,,,,,,,,,6ucq_1_2B_3-121,,,,,6nd5_1_2a_1-1521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,5kpx_1_30_1-73,,4lfz_1_YA_1-2913,,,,,,,,,,4v9k_1_DB_3-119,,,,,4v95_1_AA_2-1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,5kpw_1_30_1-73,,4v7l_1_DA_1-2912,,,,,,,,,,4v67_1_BB_5-121,,,,,4wt1_1_13_2-1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,3j73_1_S5_1-73,,4v7w_1_BA_1-2784,,,,,,,,,,4p6f_1_RB_3-119,,,,,4v7m_1_AA_1-1508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,1vx2_1_5_1-73,,6n9e_1_2A_1-2912,,,,,,,,,,4v9i_1_DB_3-119,,,,,4v8i_1_CA_2-1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,6q95_1_8_1-73,,4v7w_1_DA_1-2784,,,,,,,,,,5d8b_1_AD_4-120,,,,,4w4g_1_XA_2-1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,3jce_1_9_1-73,,6czr_1_1A_1-2912,,,,,,,,,,4l71_1_RB_3-119,,,,,4w2h_1_CA_1-1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,5iqr_1_6_1-73,,6n9f_1_1A_1-2912,,,,,,,,,,4lel_1_YB_3-119,,,,,5wis_1_2a_1-1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,3jcd_1_8_1-73,,6n9e_1_1A_1-2912,,,,,,,,,,4v5c_1_DB_3-119,,,,,4gkj_1_A_1-1513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,3jcd_1_9_1-73,,6n1d_1_A23S_1-2912,,,,,,,,,,4lfz_1_YB_3-119,,,,,4v8b_1_AA_5-1506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,3jbv_1_V_1-73,,4p70_1_YA_1-2913,,,,,,,,,,4v7x_1_BB_3-119,,,,,4y4p_1_1a_1-1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,1h4s_1_T_1-74,,6b4v_1_FB_1-2880,,,,,,,,,,6czr_1_2B_3-121,,,,,5wit_1_1a_1-1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,1h4q_1_T_1-74,,4v67_1_DA_1-2891,,,,,,,,,,4v7w_1_BB_3-119,,,,,4ji5_1_A_2-1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,6gsk_1_3L_1-73,,4xej_1_B23S_1-2879,,,,,,,,,,4lfz_1_RB_3-119,,,,,4w4g_1_QA_2-1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,6gsk_1_3K_1-73,,6n1d_1_B23S_1-2912,,,,,,,,,,6n1d_1_B5S_3-121,,,,,4w2f_1_AA_1-1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,6gsj_1_3L_1-73,,6n9f_1_2A_1-2912,,,,,,,,,,4v84_1_BB_3-119,,,,,1fjg_1_A_2-1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,6gsj_1_3K_1-73,,4lfz_1_RA_1-2913,,,,,,,,,,4v9l_1_BB_3-119,,,,,5doy_1_1a_1-1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,1il2_1_C_1-72,,4l71_1_RA_1-2913,,,,,,,,,,4v9m_1_BB_3-119,,,,,5wnq_1_A_2-1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,1il2_1_D_1-72,,4p70_1_RA_1-2913,,,,,,,,,,4v4j_1_x_3-119,,,,,1vy4_1_CA_1-1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,2tra_1_A_1-72,,6ucq_1_1A_1-2912,,,,,,,,,,4v84_1_DB_3-119,,,,,5wns_1_A_2-1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,3tra_1_A_1-72,,4xej_1_A23S_1-2879,,,,,,,,,,5d8b_1_WC_4-120,,,,,4wra_1_13_2-1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,1asz_1_S_1-72,,6czr_1_2A_1-2912,,,,,,,,,,4v63_1_BB_5-121,,,,,4v9b_1_CA_5-1506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,1asy_1_S_1-72,,4v9l_1_BA_1-2879,,,,,,,,,,4v9m_1_DB_3-119,,,,,4wr6_1_13_2-1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,1asz_1_R_1-72,,4v7p_1_BA_1-2879,,,,,,,,,,4xej_1_B5S_3-119,,,,,1ibl_1_A_2-1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,1asy_1_R_1-72,,4v7p_1_CA_1-2879,,,,,,,,,,4v63_1_DB_5-121,,,,,4v9b_1_AA_5-1506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,1vtq_1_A_1-72,,4v9l_1_DA_1-2879,,,,,,,,,,4v7y_1_DB_3-119,,,,,4wra_1_1G_2-1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,3jbv_1_W_1-73,,6ucq_1_2A_1-2912,,,,,,,,,,4v8j_1_BB_3-119,,,,,5doy_1_2a_1-1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,1b23_1_R_1-71,,4v9m_1_BA_1-2879,,,,,,,,,,4v5g_1_DB_5-121,,,,,4dr7_1_A_2-1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,6gsl_1_3L_1-74,,4v63_1_DA_1-2891,,,,,,,,,,4v9l_1_DB_3-119,,,,,4w2e_1_a_1-1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,6gsl_1_3K_1-74,,4v9m_1_DA_1-2879,,,,,,,,,,4v7p_1_BB_3-119,,,,,6o97_1_2a_1-1521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,1wz2_1_D_1-85,,4v63_1_BA_1-2891,,,,,,,,,,4v5g_1_BB_5-121,,,,,6c5l_1_AA_2-1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
